Elements_In_Peaks	Elements_In_Cores	Elements_Outside_Cores
5053	764	4289
4233	599	3634
4633	578	4055
4726	705	4021
4629	653	3976
4395	641	3754
5048	716	4332
4433	685	3748
4478	587	3891
4791	686	4105
4482	701	3781
4179	595	3584
4353	638	3715
4433	551	3882
4803	718	4085
4586	732	3854
4799	668	4131
4891	642	4249
4702	637	4065
4563	613	3950
5027	722	4305
4368	632	3736
4583	606	3977
4903	666	4237
4423	635	3788
4764	687	4077
4451	626	3825
4582	558	4024
4683	628	4055
4931	629	4302
4791	811	3980
4701	588	4113
4748	770	3978
4890	602	4288
4637	606	4031
4638	695	3943
4306	598	3708
4796	712	4084
4893	750	4143
4735	707	4028
4706	674	4032
5000	775	4225
4547	647	3900
4840	747	4093
4981	690	4291
4526	581	3945
4680	667	4013
4792	649	4143
4752	669	4083
4718	719	3999
4717	641	4076
4766	650	4116
4817	721	4096
4610	651	3959
4690	670	4020
4681	677	4004
4526	662	3864
4229	599	3630
4844	712	4132
4690	660	4030
4287	666	3621
4901	662	4239
4466	559	3907
4588	689	3899
4935	707	4228
4654	680	3974
4878	642	4236
4582	685	3897
4237	617	3620
4966	663	4303
4573	627	3946
4503	616	3887
4633	647	3986
4905	667	4238
4711	626	4085
4355	679	3676
4520	607	3913
5031	684	4347
4925	657	4268
4409	673	3736
4973	694	4279
4452	645	3807
4380	634	3746
4703	708	3995
4715	644	4071
4778	641	4137
4871	662	4209
5152	671	4481
4658	684	3974
4566	731	3835
4602	682	3920
4768	686	4082
4476	671	3805
4706	720	3986
4501	597	3904
4623	616	4007
4457	635	3822
4631	693	3938
4562	653	3909
4543	622	3921
4559	570	3989
4799	596	4203
4879	772	4107
4713	683	4030
4800	621	4179
4404	709	3695
4371	609	3762
4647	660	3987
4616	556	4060
4683	667	4016
4784	617	4167
4448	665	3783
4824	664	4160
4553	731	3822
4684	625	4059
4619	651	3968
4890	713	4177
4672	594	4078
4487	601	3886
5028	677	4351
4636	636	4000
4700	651	4049
4903	723	4180
4579	696	3883
4307	574	3733
4742	653	4089
4767	607	4160
4635	708	3927
4798	696	4102
4706	737	3969
4799	617	4182
4798	672	4126
4648	659	3989
4325	629	3696
4699	645	4054
5056	701	4355
4930	709	4221
4779	684	4095
4583	654	3929
4929	690	4239
4956	707	4249
4916	702	4214
4751	680	4071
4962	660	4302
4660	631	4029
4091	549	3542
4402	636	3766
4809	664	4145
4663	664	3999
4621	628	3993
4667	690	3977
5025	716	4309
4354	650	3704
4766	689	4077
4564	621	3943
4758	670	4088
4348	628	3720
4470	636	3834
4618	671	3947
4523	618	3905
4611	643	3968
4235	622	3613
4888	669	4219
4652	688	3964
4868	644	4224
4738	613	4125
4975	677	4298
5056	712	4344
4611	639	3972
4931	665	4266
4876	676	4200
4954	704	4250
4982	654	4328
4824	693	4131
4833	605	4228
4580	651	3929
4713	628	4085
4752	652	4100
4494	633	3861
4215	585	3630
4526	653	3873
4650	665	3985
4605	654	3951
4259	584	3675
4638	716	3922
4871	750	4121
4711	700	4011
4831	652	4179
4984	687	4297
4780	631	4149
4603	665	3938
5008	760	4248
4520	664	3856
4451	597	3854
4306	640	3666
4513	714	3799
5087	742	4345
4857	696	4161
4470	553	3917
4725	633	4092
5034	725	4309
4876	613	4263
4718	786	3932
4878	685	4193
4620	615	4005
5074	748	4326
4945	743	4202
5116	651	4465
4792	666	4126
4599	601	3998
4754	675	4079
4363	591	3772
4575	633	3942
4422	720	3702
4373	583	3790
4453	608	3845
4206	608	3598
4795	644	4151
4467	615	3852
4804	583	4221
4653	605	4048
4536	760	3776
4661	690	3971
4746	646	4100
4532	627	3905
4612	592	4020
4858	717	4141
4603	687	3916
4674	678	3996
4620	695	3925
4272	628	3644
4516	564	3952
4465	688	3777
4685	640	4045
4677	691	3986
4711	593	4118
4793	610	4183
4896	677	4219
4737	653	4084
4596	562	4034
4702	600	4102
5181	718	4463
4325	683	3642
4863	681	4182
4659	589	4070
4584	645	3939
4686	601	4085
4944	655	4289
4293	583	3710
4655	693	3962
4942	713	4229
4964	716	4248
4983	703	4280
4462	653	3809
4609	623	3986
4329	610	3719
4603	661	3942
4584	650	3934
4288	611	3677
5040	675	4365
4346	646	3700
4714	630	4084
4422	672	3750
4512	663	3849
4821	623	4198
4543	640	3903
4629	676	3953
4679	669	4010
4928	731	4197
4739	844	3895
4834	698	4136
4609	680	3929
4432	663	3769
4820	650	4170
4797	681	4116
4534	691	3843
4846	692	4154
4510	620	3890
4606	591	4015
4766	769	3997
4651	620	4031
4914	693	4221
4891	728	4163
4354	607	3747
4476	630	3846
4753	754	3999
4398	587	3811
4953	759	4194
4902	677	4225
4711	732	3979
4413	625	3788
4451	645	3806
4339	640	3699
4744	695	4049
4832	632	4200
4902	717	4185
4794	672	4122
4525	607	3918
4693	691	4002
4799	659	4140
4630	603	4027
4595	627	3968
4815	672	4143
4626	648	3978
4594	678	3916
4892	642	4250
4698	597	4101
4942	674	4268
4338	634	3704
4785	580	4205
4559	603	3956
4766	709	4057
4689	619	4070
4924	671	4253
4695	735	3960
4648	572	4076
4490	613	3877
4594	721	3873
4679	641	4038
4785	634	4151
4507	708	3799
4660	615	4045
5038	744	4294
4802	647	4155
4852	677	4175
4703	661	4042
4904	745	4159
4677	612	4065
4849	640	4209
4675	631	4044
4878	678	4200
4337	666	3671
4887	687	4200
4737	675	4062
4684	592	4092
4918	635	4283
4744	616	4128
4696	635	4061
5276	716	4560
4449	575	3874
4809	727	4082
4637	667	3970
4721	651	4070
4405	561	3844
4834	652	4182
4433	599	3834
4682	696	3986
4727	724	4003
4353	633	3720
4504	620	3884
4520	628	3892
4734	686	4048
4759	646	4113
4457	653	3804
4714	715	3999
4621	681	3940
4710	677	4033
4675	599	4076
4337	566	3771
4606	658	3948
4831	703	4128
4637	669	3968
4603	696	3907
4600	637	3963
4726	756	3970
4736	599	4137
4393	654	3739
4722	698	4024
4810	620	4190
4401	632	3769
4588	698	3890
4870	623	4247
4075	611	3464
4309	643	3666
4623	632	3991
4844	684	4160
4836	667	4169
4722	644	4078
4940	710	4230
4565	628	3937
4569	572	3997
4862	624	4238
4397	620	3777
4862	688	4174
4606	645	3961
4371	632	3739
4471	616	3855
4590	651	3939
4788	709	4079
4809	580	4229
4822	713	4109
4475	657	3818
4870	671	4199
4478	544	3934
4945	683	4262
4679	595	4084
4937	712	4225
5122	775	4347
4774	654	4120
4929	711	4218
4747	680	4067
4475	699	3776
4859	664	4195
4717	650	4067
4689	671	4018
4852	725	4127
4877	578	4299
4739	684	4055
4589	662	3927
4299	646	3653
4460	704	3756
4567	788	3779
4686	675	4011
4427	652	3775
4706	688	4018
4419	656	3763
4493	621	3872
4383	602	3781
4598	744	3854
4694	591	4103
4384	641	3743
4363	647	3716
4740	764	3976
4682	635	4047
4207	597	3610
4872	648	4224
4567	676	3891
4353	597	3756
4645	564	4081
